Sensor ID,Timestamp,pH,Dissolved Oxygen,CO2 Levels,Turbidity
3,2025-01-23 20:20:48,8.43,7.05,0.61,4.6
10,2025-01-23 20:21:48,6.33,5.61,0.81,3.3
1,2025-01-23 20:22:48,6.7,5.08,0.22,2.69
9,2025-01-23 20:23:48,6.75,8.92,0.36,1.29
5,2025-01-23 20:24:48,6.42,5.14,0.17,4.72
10,2025-01-23 20:25:48,6.1,9.96,0.53,4.78
3,2025-01-23 20:26:48,7.57,8.07,0.86,1.52
6,2025-01-23 20:27:48,6.49,6.18,0.76,4.24
6,2025-01-23 20:28:48,6.9,5.03,0.98,3.95
5,2025-01-23 20:29:48,7.08,9.13,0.48,0.75
9,2025-01-23 20:30:48,6.98,5.02,0.97,4.18
3,2025-01-23 20:31:48,7.75,6.76,0.31,2.95
4,2025-01-23 20:32:48,6.37,5.97,0.69,1.32
6,2025-01-23 20:33:48,6.54,5.95,0.27,0.79
9,2025-01-23 20:34:48,6.09,9.01,0.23,2.1
8,2025-01-23 20:35:48,7.97,5.33,0.71,3.22
1,2025-01-23 20:36:48,8.62,6.75,0.86,2.4
5,2025-01-23 20:37:48,7.76,9.02,0.36,1.63
3,2025-01-23 20:38:48,8.42,8.58,0.21,2.68
7,2025-01-23 20:39:48,8.67,8.98,0.18,0.73
5,2025-01-23 20:40:48,7.29,8.03,0.23,3.19
4,2025-01-23 20:41:48,6.7,8.04,0.88,1.09
8,2025-01-23 20:42:48,6.99,6.05,0.78,3.55
8,2025-01-23 20:43:48,8.99,6.04,0.69,0.95
5,2025-01-23 20:44:48,6.42,8.53,0.19,4.41
2,2025-01-23 20:45:48,7.08,8.67,1.0,4.88
2,2025-01-23 20:46:48,7.04,8.57,0.91,4.34
8,2025-01-23 20:47:48,6.15,9.09,0.48,4.87
5,2025-01-23 20:48:48,6.25,6.35,0.55,0.71
9,2025-01-23 20:49:48,6.8,9.86,0.28,1.93
7,2025-01-23 20:50:48,8.11,8.41,0.49,4.21
7,2025-01-23 20:51:48,7.26,5.27,0.31,4.54
1,2025-01-23 20:52:48,8.77,7.49,0.89,3.23
2,2025-01-23 20:53:48,8.26,7.25,0.74,3.06
2,2025-01-23 20:54:48,8.81,8.78,0.5,3.85
5,2025-01-23 20:55:48,7.97,7.47,0.82,2.97
5,2025-01-23 20:56:48,6.77,8.65,0.87,1.31
4,2025-01-23 20:57:48,7.73,6.75,0.83,2.59
8,2025-01-23 20:58:48,8.01,5.46,0.87,3.52
6,2025-01-23 20:59:48,7.63,6.23,0.26,1.42
4,2025-01-23 21:00:48,6.2,8.92,0.52,4.74
10,2025-01-23 21:01:48,7.82,9.48,0.12,0.96
5,2025-01-23 21:02:48,6.01,7.51,0.66,2.37
4,2025-01-23 21:03:48,8.69,8.63,0.71,0.45
9,2025-01-23 21:04:48,8.22,6.45,0.79,1.37
2,2025-01-23 21:05:48,8.88,9.11,0.4,1.73
5,2025-01-23 21:06:48,6.47,9.03,0.51,3.33
1,2025-01-23 21:07:48,8.26,5.92,0.95,3.52
10,2025-01-23 21:08:48,7.82,7.21,0.98,3.18
9,2025-01-23 21:09:48,6.2,7.23,0.59,2.66
8,2025-01-23 21:10:48,8.52,9.99,0.89,2.38
3,2025-01-23 21:11:48,7.59,8.0,0.36,4.66
6,2025-01-23 21:12:48,6.19,6.9,0.88,2.6
4,2025-01-23 21:13:48,8.51,5.32,0.78,2.82
2,2025-01-23 21:14:48,8.16,6.87,0.53,3.99
7,2025-01-23 21:15:48,6.11,9.23,0.69,3.95
1,2025-01-23 21:16:48,7.51,7.12,0.17,3.38
7,2025-01-23 21:17:48,7.25,8.26,0.57,0.99
2,2025-01-23 21:18:48,7.68,9.81,0.44,1.18
2,2025-01-23 21:19:48,6.71,8.79,0.93,4.43
1,2025-01-23 21:20:48,8.55,9.56,0.77,0.35
9,2025-01-23 21:21:48,7.42,5.17,0.27,4.68
4,2025-01-23 21:22:48,6.94,8.19,0.62,1.0
