entry_id,sensor_id,timestamp,ph,dissolved_oxygen,carbon_dioxide_levels,turbidity
1,1,2025-01-12 10:55:35,7.91,10.61,2.04,4.83
2,3,2025-01-11 22:45:00,6.65,5.49,2.84,1.21
3,2,2025-01-12 03:43:29,7.9,5.6,1.71,2.86
4,3,2025-01-11 20:14:57,8.44,8.59,1.65,2.2
5,2,2025-01-12 17:34:50,7.5,8.34,2.83,4.65
6,2,2025-01-12 01:01:57,6.8,10.71,1.84,3.94
7,1,2025-01-12 05:01:08,6.65,10.72,2.93,2.18
8,2,2025-01-12 03:45:15,8.2,8.39,1.74,1.88
9,1,2025-01-12 03:54:56,7.56,9.04,2.34,0.65
10,1,2025-01-12 15:40:34,7.99,8.88,1.67,4.55
11,2,2025-01-12 03:51:16,7.61,11.21,2.05,0.17
12,3,2025-01-12 06:51:41,6.56,10.22,0.56,1.81
13,1,2025-01-12 04:20:37,7.93,8.73,2.85,0.83
14,2,2025-01-12 16:26:48,7.96,5.96,0.89,3.97
15,3,2025-01-12 05:58:47,6.75,10.93,0.8,4.13
16,1,2025-01-12 07:52:21,7.72,6.46,1.67,0.77
17,1,2025-01-11 22:24:29,7.0,6.5,2.8,2.09
18,3,2025-01-12 10:09:03,7.28,5.55,2.91,0.44
19,1,2025-01-11 22:19:18,7.37,11.73,1.21,4.79
20,1,2025-01-11 23:36:14,8.18,9.11,1.1,1.72
21,3,2025-01-11 21:47:51,6.65,6.34,2.13,4.99
22,3,2025-01-12 11:20:16,6.88,11.5,1.57,3.91
23,3,2025-01-12 07:50:08,8.26,6.65,2.5,1.69
24,2,2025-01-12 00:40:10,7.05,11.86,1.48,0.19
25,2,2025-01-12 10:49:40,7.23,7.98,1.43,2.34
26,3,2025-01-12 05:49:05,8.23,10.05,2.2,4.51
27,3,2025-01-12 01:47:01,6.8,10.74,0.55,4.23
28,2,2025-01-11 23:46:53,6.87,5.06,2.03,0.36
29,1,2025-01-12 14:35:09,7.62,11.49,2.56,3.86
30,3,2025-01-12 08:00:14,7.55,7.59,1.16,3.37
31,3,2025-01-12 04:54:33,7.08,9.12,2.89,4.38
32,1,2025-01-12 17:48:21,6.58,9.51,2.72,3.38
33,1,2025-01-11 20:07:42,7.85,6.86,1.34,2.52
34,2,2025-01-12 08:15:36,7.26,8.19,0.62,1.7
35,2,2025-01-12 09:53:25,7.78,11.93,2.11,0.37
36,1,2025-01-12 05:19:26,8.17,5.17,1.98,0.44
37,1,2025-01-12 09:51:03,7.36,7.12,2.69,4.22
38,3,2025-01-12 17:39:27,7.95,5.15,1.7,3.07
39,1,2025-01-12 07:04:46,7.63,6.6,1.8,1.03
40,2,2025-01-12 00:23:59,7.39,9.36,0.53,4.89
41,2,2025-01-11 22:07:25,8.09,8.69,0.59,2.48
42,3,2025-01-12 10:19:10,8.05,8.12,2.23,2.0
43,1,2025-01-12 04:40:06,7.61,11.77,1.81,1.82
44,2,2025-01-12 10:34:37,7.83,11.71,1.53,3.41
45,2,2025-01-12 16:11:40,7.81,10.14,2.42,0.37
46,3,2025-01-12 00:12:10,7.03,10.75,2.21,3.91
47,1,2025-01-12 06:12:18,7.71,11.82,1.3,4.28
48,1,2025-01-12 00:54:37,7.54,10.14,0.87,1.19
49,3,2025-01-12 13:54:27,6.7,11.32,2.81,1.19
50,2,2025-01-11 18:14:45,8.01,5.99,1.35,0.54
51,2,2025-01-12 06:30:42,7.58,5.95,2.26,4.97
52,1,2025-01-12 06:38:21,6.63,6.37,1.35,4.52
53,1,2025-01-11 23:19:39,8.0,10.13,2.46,0.85
54,1,2025-01-12 10:21:21,7.65,6.62,1.12,2.7
55,2,2025-01-12 17:29:19,8.19,5.59,1.44,2.04
56,1,2025-01-12 04:06:25,8.02,9.77,2.06,3.1
57,1,2025-01-12 11:40:09,8.2,9.71,2.96,4.89
58,2,2025-01-11 18:48:32,8.08,6.35,1.55,1.57
59,2,2025-01-11 18:11:51,8.32,5.54,2.01,3.0
60,2,2025-01-11 20:28:45,7.39,11.75,0.61,1.79
61,2,2025-01-12 13:29:10,8.48,9.84,0.5,2.5
62,1,2025-01-12 01:49:48,6.7,10.38,1.46,1.28
63,3,2025-01-12 08:25:23,8.12,5.3,2.22,2.23
64,2,2025-01-12 08:30:02,6.58,5.07,1.61,4.44
65,1,2025-01-12 06:31:58,8.07,11.36,1.65,3.99
66,1,2025-01-12 00:41:37,6.82,7.71,2.24,1.87
67,1,2025-01-12 00:37:20,8.26,5.48,2.04,4.46
68,1,2025-01-12 07:23:35,7.3,10.43,0.52,1.04
69,1,2025-01-11 23:45:08,6.97,11.58,2.9,2.11
70,3,2025-01-12 02:49:19,7.45,7.85,0.92,0.65
71,3,2025-01-12 11:58:14,7.85,6.76,0.68,4.2
72,1,2025-01-11 21:08:53,8.41,11.53,2.49,4.45
73,1,2025-01-12 01:58:07,6.97,11.26,1.71,3.63
74,3,2025-01-11 22:44:09,6.62,11.6,2.55,1.92
75,1,2025-01-12 15:12:16,8.48,6.2,2.52,2.26
76,2,2025-01-11 19:46:59,7.09,5.25,1.62,1.85
77,3,2025-01-12 07:50:27,8.38,11.33,0.65,0.39
78,3,2025-01-12 04:30:33,7.69,6.28,1.42,3.36
79,2,2025-01-12 02:50:17,8.18,5.68,0.87,3.67
80,2,2025-01-12 07:54:00,8.08,9.15,1.58,4.8
81,1,2025-01-12 03:26:36,6.72,8.36,2.27,2.84
82,3,2025-01-12 10:34:09,7.89,7.32,1.49,4.48
83,1,2025-01-12 10:34:05,7.48,7.78,1.49,2.01
84,1,2025-01-11 22:29:25,8.05,7.0,0.94,3.69
85,2,2025-01-12 02:08:42,8.44,7.06,2.54,4.2
86,1,2025-01-12 11:59:18,8.2,7.41,1.57,2.46
87,3,2025-01-12 03:47:25,7.76,8.78,2.01,4.4
88,3,2025-01-11 21:03:29,7.17,6.41,2.45,3.49
89,3,2025-01-12 13:03:26,8.49,6.79,1.8,2.05
90,1,2025-01-11 22:26:43,6.73,6.44,2.11,1.06
91,2,2025-01-12 06:20:57,7.34,8.39,2.3,0.2
92,3,2025-01-12 12:36:28,6.8,10.52,2.02,3.91
93,3,2025-01-12 02:47:14,7.38,10.25,2.03,0.3
94,3,2025-01-11 23:54:45,6.69,10.09,2.84,1.17
95,2,2025-01-12 05:49:41,8.25,11.87,0.57,2.25
96,1,2025-01-12 13:06:27,7.41,6.86,2.13,1.84
97,1,2025-01-12 11:53:31,8.01,7.51,1.42,1.49
98,1,2025-01-12 05:54:18,8.45,9.32,2.77,4.72
99,3,2025-01-11 19:08:51,7.08,6.37,1.95,2.96
100,1,2025-01-12 10:29:21,7.52,8.07,1.19,3.96
101,3,2025-01-12 02:14:10,7.24,7.21,2.97,0.14
102,1,2025-01-11 18:39:26,7.76,6.31,0.72,4.17
103,1,2025-01-12 04:57:44,6.93,7.42,2.94,2.68
104,2,2025-01-12 16:49:13,7.11,7.41,2.8,2.79
105,3,2025-01-12 12:53:26,8.15,9.47,1.88,4.66
106,3,2025-01-12 11:37:19,7.08,7.13,1.61,1.93
107,3,2025-01-12 05:11:47,7.45,7.31,2.58,2.41
108,2,2025-01-11 22:21:01,8.5,7.77,2.77,1.96
109,1,2025-01-12 14:05:03,6.82,10.51,1.33,4.79
110,2,2025-01-11 20:39:14,6.66,8.64,0.94,0.75
111,2,2025-01-11 19:34:27,6.81,6.0,1.94,2.76
112,2,2025-01-11 21:41:29,7.38,8.17,1.57,0.5
113,2,2025-01-12 05:11:18,6.74,7.61,1.92,2.72
114,2,2025-01-12 08:24:20,7.8,7.19,2.49,2.89
115,3,2025-01-12 14:35:28,7.93,9.42,0.51,4.38
116,2,2025-01-12 11:29:14,7.99,11.16,0.7,0.84
117,1,2025-01-12 00:29:35,8.23,5.08,2.45,3.84
118,2,2025-01-12 10:42:58,7.64,9.36,0.67,4.78
119,2,2025-01-11 23:45:35,8.22,11.26,1.46,4.54
120,1,2025-01-11 23:44:02,7.75,5.27,1.12,1.13
121,2,2025-01-12 11:07:10,7.97,10.1,0.56,3.35
122,2,2025-01-11 21:14:32,6.9,6.13,1.98,3.81
123,2,2025-01-12 00:14:37,6.65,5.32,2.18,2.46
124,3,2025-01-12 08:04:17,7.25,7.94,0.77,4.22
125,1,2025-01-12 17:36:21,7.5,9.06,2.78,4.51
126,3,2025-01-12 05:52:54,6.54,8.72,1.5,3.59
127,2,2025-01-11 18:14:13,8.34,6.24,0.71,1.33
128,1,2025-01-12 09:04:24,7.39,6.91,1.53,1.23
129,1,2025-01-12 12:13:06,7.34,7.42,1.95,1.06
130,1,2025-01-12 08:24:20,7.63,7.7,2.91,4.64
131,3,2025-01-12 11:23:05,7.91,5.95,1.31,4.01
132,2,2025-01-12 13:39:11,7.3,5.68,2.64,2.41
133,1,2025-01-12 06:38:35,6.54,7.17,2.16,1.74
134,1,2025-01-12 06:59:30,7.63,8.39,2.85,1.74
135,2,2025-01-11 19:47:26,7.18,9.2,1.08,0.44
136,2,2025-01-12 07:01:06,8.27,5.35,1.4,1.71
137,3,2025-01-12 06:19:59,7.59,11.93,1.18,4.69
138,2,2025-01-12 03:10:46,8.5,9.09,1.72,4.99
139,1,2025-01-12 02:39:22,7.61,7.87,1.12,0.63
140,2,2025-01-12 17:42:33,7.27,9.72,0.82,1.08
141,3,2025-01-12 11:42:34,7.85,6.65,1.24,4.29
142,2,2025-01-12 07:56:10,6.99,10.29,0.97,3.93
143,2,2025-01-12 07:14:45,6.65,7.81,1.39,1.74
144,2,2025-01-12 14:43:55,6.99,8.71,3.0,2.3
145,1,2025-01-12 05:03:44,8.1,9.93,0.73,1.91
146,1,2025-01-12 03:30:52,7.52,11.23,2.16,1.32
147,1,2025-01-12 17:48:37,6.89,8.36,2.91,2.26
148,3,2025-01-12 12:38:18,7.68,10.57,2.47,4.28
149,1,2025-01-11 19:05:06,8.39,8.45,1.19,4.82
150,1,2025-01-12 07:21:45,8.35,9.18,1.96,2.63
151,3,2025-01-11 19:42:52,7.37,8.43,0.84,1.12
152,3,2025-01-12 17:13:29,7.5,11.68,2.46,1.36
153,1,2025-01-12 03:40:39,7.2,8.02,0.9,2.77
154,2,2025-01-12 11:21:50,7.17,7.99,1.67,4.04
155,3,2025-01-11 18:07:23,8.09,5.04,2.42,0.47
156,1,2025-01-12 02:43:27,7.86,11.95,2.82,4.89
157,1,2025-01-12 10:55:00,8.49,6.92,1.41,0.8
158,1,2025-01-12 01:28:21,7.39,10.35,1.02,1.05
159,1,2025-01-11 22:35:07,8.28,8.05,2.14,1.67
160,2,2025-01-12 05:30:03,7.11,10.22,1.73,4.51
161,1,2025-01-12 02:16:15,6.63,11.31,2.88,0.73
162,3,2025-01-11 23:48:24,6.96,6.07,1.04,0.1
163,1,2025-01-12 10:10:32,7.28,7.36,1.64,1.71
164,2,2025-01-12 04:24:04,6.86,8.57,2.23,4.04
165,3,2025-01-12 12:25:25,7.81,5.57,1.02,4.91
166,3,2025-01-12 08:29:27,7.26,8.89,0.6,1.1
167,2,2025-01-11 20:11:55,7.0,11.39,1.52,4.1
168,1,2025-01-12 09:45:40,8.49,7.97,1.66,0.29
169,2,2025-01-12 12:13:17,6.78,7.89,2.08,1.18
170,3,2025-01-12 16:59:11,7.9,11.06,0.71,0.74
171,3,2025-01-12 04:21:26,7.09,11.81,0.91,3.46
172,2,2025-01-12 11:54:38,6.98,10.18,2.51,4.46
173,2,2025-01-12 13:18:33,7.49,6.5,2.1,4.33
174,2,2025-01-12 16:44:51,6.84,8.58,2.0,0.24
175,3,2025-01-12 06:22:53,6.5,9.57,1.95,0.32
176,2,2025-01-12 17:53:29,7.17,9.6,2.4,1.61
177,2,2025-01-12 07:33:48,7.88,5.69,1.38,2.9
178,1,2025-01-12 10:19:27,7.21,6.79,2.56,0.55
179,2,2025-01-12 17:06:02,6.64,8.19,2.57,1.54
180,3,2025-01-12 03:12:25,8.3,11.71,1.27,4.57
181,1,2025-01-12 02:33:39,7.66,9.8,0.51,2.92
182,1,2025-01-12 15:10:13,7.61,8.5,2.59,3.15
183,2,2025-01-12 14:53:22,6.52,10.41,2.99,0.22
184,1,2025-01-12 03:50:42,8.37,7.47,1.2,2.74
185,2,2025-01-12 03:38:22,7.0,7.9,2.42,0.44
186,1,2025-01-11 18:54:47,6.83,5.29,2.98,2.29
187,1,2025-01-11 22:32:30,6.94,8.98,0.74,4.58
188,3,2025-01-12 10:33:05,8.47,8.17,2.74,3.3
189,1,2025-01-12 16:24:58,7.04,9.21,2.53,2.93
190,3,2025-01-12 15:54:43,7.46,5.06,2.99,0.87
191,3,2025-01-11 20:32:42,6.87,8.92,2.73,4.14
192,1,2025-01-12 00:14:35,7.17,10.66,2.21,1.1
193,3,2025-01-12 04:17:39,7.39,11.46,2.65,4.36
194,3,2025-01-12 06:48:33,8.41,7.57,2.84,4.82
195,3,2025-01-11 19:10:09,7.46,8.48,2.46,0.66
196,3,2025-01-12 02:28:19,7.56,6.8,0.81,1.46
197,3,2025-01-11 23:19:03,7.99,10.22,2.33,0.21
198,3,2025-01-12 07:38:17,7.29,10.32,1.53,4.19
199,3,2025-01-12 01:28:51,7.17,7.6,2.33,3.03
200,2,2025-01-11 19:19:15,7.82,8.49,0.8,3.48
201,1,2025-01-12 00:21:34,7.06,11.76,2.67,0.49
202,2,2025-01-12 15:29:33,8.34,9.37,1.86,4.34
203,2,2025-01-12 09:51:04,7.61,7.2,1.45,4.47
204,2,2025-01-12 01:10:07,7.57,10.49,2.78,2.8
205,1,2025-01-12 10:05:37,8.23,8.92,1.66,2.39
206,2,2025-01-12 05:58:26,8.09,7.21,1.45,4.65
207,3,2025-01-12 16:35:36,8.38,7.13,0.85,2.97
208,3,2025-01-12 06:07:32,7.17,5.49,2.02,1.37
209,1,2025-01-12 16:10:16,6.74,11.49,0.87,0.46
210,3,2025-01-12 05:00:58,7.07,9.45,2.45,3.01
211,3,2025-01-11 22:58:58,7.58,6.3,2.67,1.28
212,3,2025-01-11 22:46:16,8.4,6.35,2.62,3.9
213,1,2025-01-11 20:39:14,8.3,6.39,2.85,2.17
214,3,2025-01-12 15:21:01,6.54,10.39,1.08,0.91
215,3,2025-01-12 04:46:35,6.67,11.4,1.01,2.75
216,2,2025-01-11 18:54:54,7.78,11.5,1.88,1.53
217,1,2025-01-12 15:56:11,8.16,8.32,2.26,3.44
218,1,2025-01-12 04:34:06,6.57,6.45,1.21,1.62
219,3,2025-01-12 07:03:06,6.99,9.09,1.01,4.18
220,2,2025-01-12 14:01:04,7.55,9.93,2.15,0.92
221,2,2025-01-12 14:01:33,7.21,7.14,0.96,0.58
222,2,2025-01-12 09:59:39,8.46,8.33,1.63,0.58
223,1,2025-01-11 18:25:35,7.42,8.48,0.7,3.57
224,3,2025-01-12 10:12:32,8.02,6.86,2.77,3.88
225,3,2025-01-12 16:52:00,7.46,11.82,2.81,2.4
226,2,2025-01-12 00:23:02,7.32,10.97,0.57,3.74
227,2,2025-01-12 06:39:23,6.69,9.07,1.43,0.41
228,1,2025-01-12 17:18:24,8.16,11.25,2.67,0.85
229,1,2025-01-12 07:55:25,8.09,8.22,1.48,0.79
230,3,2025-01-12 16:49:23,7.42,9.81,0.87,2.48
231,2,2025-01-12 09:17:05,7.2,5.91,2.56,4.48
232,3,2025-01-12 03:10:02,8.21,7.0,1.28,4.89
233,2,2025-01-11 21:26:25,8.36,10.73,1.53,4.13
234,1,2025-01-11 23:50:09,8.22,9.57,1.46,1.06
235,3,2025-01-11 19:01:41,7.64,7.44,2.61,2.43
236,1,2025-01-12 16:32:34,7.57,6.39,2.77,1.38
237,1,2025-01-12 10:33:37,7.49,9.09,0.78,0.88
238,2,2025-01-12 02:21:37,6.89,10.23,0.78,1.27
239,3,2025-01-12 01:12:54,7.86,8.7,2.59,0.23
240,1,2025-01-12 07:47:17,7.07,11.62,1.14,2.07
241,3,2025-01-12 11:12:40,6.6,6.13,1.3,0.44
242,2,2025-01-12 01:04:18,8.45,5.24,0.58,0.69
243,1,2025-01-12 02:13:45,7.28,6.67,2.25,3.27
244,1,2025-01-11 18:42:22,6.79,9.59,0.64,2.99
245,3,2025-01-12 07:11:33,8.05,5.99,2.37,1.58
246,2,2025-01-12 15:18:35,7.37,11.55,1.42,4.46
247,2,2025-01-12 13:20:20,6.74,10.37,1.3,4.01
248,1,2025-01-12 01:32:33,8.39,9.76,0.59,0.84
249,1,2025-01-12 13:23:15,7.42,6.11,1.37,1.25
250,3,2025-01-11 22:21:39,8.31,9.99,1.9,2.64
251,1,2025-01-12 09:47:20,8.01,6.32,1.84,1.23
252,2,2025-01-12 13:20:42,7.21,8.94,0.76,3.41
253,2,2025-01-12 00:04:07,6.79,5.45,2.53,4.35
254,2,2025-01-12 10:20:14,7.13,8.18,1.86,2.06
255,1,2025-01-11 20:16:53,7.25,9.33,1.31,2.67
256,2,2025-01-11 19:11:45,8.33,10.15,0.9,2.61
257,3,2025-01-12 06:08:58,7.16,8.42,1.27,1.29
258,3,2025-01-12 17:37:23,6.62,10.56,1.38,1.65
259,1,2025-01-12 00:05:49,7.32,5.44,1.16,2.6
260,1,2025-01-12 02:20:28,8.15,9.28,0.87,2.65
261,2,2025-01-11 23:01:05,8.41,5.42,0.61,4.74
262,1,2025-01-12 16:24:22,7.54,9.85,2.68,4.07
263,1,2025-01-12 06:33:13,6.57,7.63,2.71,2.24
264,3,2025-01-12 07:30:19,8.12,9.17,2.01,0.59
265,2,2025-01-11 19:15:42,6.51,7.64,0.9,3.58
266,3,2025-01-12 11:39:00,8.06,5.78,2.65,0.58
267,2,2025-01-12 10:01:58,7.54,9.66,2.45,1.74
268,2,2025-01-11 21:39:03,8.4,5.97,2.66,4.57
269,3,2025-01-11 19:43:34,6.98,7.02,1.65,3.02
270,2,2025-01-12 16:57:29,8.16,7.49,0.99,0.59
271,2,2025-01-12 02:08:58,7.08,7.47,2.16,2.25
272,2,2025-01-12 15:02:28,6.56,6.32,1.52,4.49
273,2,2025-01-12 13:53:01,7.68,9.4,2.21,1.1
274,1,2025-01-11 21:05:31,8.32,11.4,0.77,0.71
275,1,2025-01-12 09:15:58,7.17,11.36,2.22,1.23
276,2,2025-01-12 01:20:32,7.79,9.39,2.58,1.59
277,1,2025-01-12 04:23:29,8.05,10.14,1.54,0.3
278,3,2025-01-12 12:53:27,8.1,10.15,0.53,3.66
279,2,2025-01-11 18:46:20,6.94,8.33,1.39,4.36
280,3,2025-01-12 16:07:51,7.41,6.02,2.68,3.31
281,3,2025-01-12 10:59:46,8.07,5.72,1.75,3.9
282,2,2025-01-12 10:17:26,7.28,8.89,2.64,1.85
283,1,2025-01-12 09:59:17,8.19,9.52,0.81,1.39
284,3,2025-01-12 06:47:40,6.95,9.13,2.78,4.87
